camera,x0,y0,x1,y1
top,2.731222967838789,99.86582361957205,97.87609834290323,-20.317176854193566
top,3.04427857386157,99.85044418384548,94.24607260783145,-33.07524752558427
top,3.353992090847746,99.83522893442493,88.41163976305246,-46.67555174497074
top,3.6604167533698115,99.82017525606355,79.68307699841638,-60.227530522981816
top,3.9636046713733446,99.80528058876388,67.9006889283642,-73.257503866249
top,4.263606859719398,99.7905424263265,52.95097695399077,-84.70896529933343
top,4.560473266800498,99.77595831494422,35.16238637768397,-93.49928238537235
top,4.854252802263991,99.76152585184016,15.328539625458536,-98.69864553500362
top,5.144993363875034,99.747242683948,-5.383264462040479,-99.73553717550402
top,5.432741863550236,99.73310650663306,-25.644113606861048,-96.54177014859623
top,5.71754425259167,99.71911506245264,-44.23293496844027,-89.56691145935257
top,5.999445546149747,99.7052661399542,-60.26446203821167,-79.65568671997148
top,6.278489846942316,99.69155757251013,-73.30364533815877,-67.8497796592817
top,6.554720368256255,99.6779872371878,-83.36075099092781,-55.200336635091006
top,6.828179456256717,99.66455305365352,-90.51954234992029,-42.21876617802149
top,7.0989086116282465,99.65125298310936,-95.40719174243465,-29.830136937812174
front,99.6358069674099,-7.4133194841338295,-15.617778168526518,-98.65574105008348
front,99.68605988733573,-6.390397799522426,-29.97793820658386,-95.35430760285058
front,99.73577632195509,-5.378396524198292,-44.80879454251058,-89.29455016495754
front,99.7849648166914,-4.3771417120715865,-59.65218043404717,-80.1097857061724
front,99.83363373643853,-3.3864630918157657,-73.64226521116576,-67.47617020301402
front,99.88179127030307,-2.4061939703366884,-85.65775411533755,-51.36801844710297
front,99.92944543619791,-1.4361711392686654,-94.54901033275924,-32.228593302686896
front,99.97660408529241,-0.476234784387346,-99.34134773215155,-10.995793352530232
front,99.97660408529245,0.47623478438734246,-99.34134773215153,10.995793352530212
front,99.92944543619794,1.4361711392686596,-94.54901033275925,32.22859330268685
front,99.8817912703031,2.4061939703366835,-85.65775411533757,51.36801844710297
front,99.83363373643853,3.386463091815764,-73.64226521116576,67.47617020301401
front,99.7849648166914,4.377141712071587,-59.652180434047196,80.1097857061724
front,99.73577632195509,5.378396524198299,-44.80879454251058,89.29455016495753
front,99.68605988733572,6.390397799522439,-29.977938206583886,95.3543076028506
front,99.63580696740988,7.4133194841338526,-15.6177781685265,98.65574105008348
